Strain	Chr1	Chr2	Chr3	Chr4	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10
Phoenix_7	43.96	43.84	43.94	43.91	44.04	603.18	69.95	11.59	232.23	4.23
Phoenix_8	36.14	36.01	36.11	36.16	36.56	417.50	44.87	9.77	123.97	2.70
Phoenix_9	44.50	44.43	44.34	44.86	44.93	473.92	50.90	11.21	146.22	4.30
San_Antonio_1	70.02	69.95	69.97	70.01	70.29	1047.05	64.44	18.24	152.81	6.00
Sonora_1	37.60	37.38	37.57	37.66	37.73	896.81	40.70	9.05	86.87	3.56
Sonora_2	26.19	26.14	26.19	26.29	26.49	622.02	40.64	6.55	89.23	2.06
Tucson_1	54.55	54.61	54.59	54.75	54.77	602.62	80.51	16.99	166.06	4.66
Tucson_10	87.89	87.45	87.66	87.15	88.18	1274.26	118.25	21.56	196.87	8.30
Tucson_11	113.38	113.17	113.09	113.06	113.74	1298.65	138.87	29.37	298.41	10.62
Tucson_12	90.94	90.66	91.23	91.00	90.61	1044.67	129.84	25.05	183.08	8.55
Tucson_13	48.17	47.92	48.16	48.37	48.46	603.30	59.26	12.33	114.36	4.44
Tucson_14	31.92	31.98	31.95	32.10	32.01	368.96	38.76	7.67	62.92	3.27
Tucson_15	30.73	30.56	30.62	30.95	31.07	328.24	33.01	7.25	78.22	2.62
Tucson_16	60.48	60.12	60.28	60.62	60.31	653.12	77.90	19.18	183.98	4.75
Tucson_17	50.54	50.44	50.56	50.55	50.38	583.42	62.30	12.28	126.38	4.73
Tucson_18	33.07	33.09	33.02	32.96	32.89	318.39	48.70	8.68	110.98	2.70
Tucson_19	60.87	60.85	60.91	61.11	61.27	864.41	72.64	15.30	181.06	6.18
Tucson_2	57.42	57.41	57.22	57.57	57.84	550.22	80.58	13.80	211.94	5.21
Tucson_20	46.39	46.32	46.27	46.46	46.47	520.30	44.31	11.29	107.30	3.43
Tucson_21	112.30	112.22	112.48	112.81	112.76	1474.97	178.47	29.00	407.62	11.17
Tucson_22	30.04	30.01	29.88	30.27	30.20	334.44	41.03	10.77	70.91	2.49
Tucson_23	53.75	53.58	53.55	53.66	53.82	603.70	70.73	12.59	208.79	5.05
Tucson_24	133.08	132.74	132.53	132.87	132.63	3575.34	162.06	31.42	346.66	13.47
Tucson_3	201.64	200.73	201.11	203.05	201.84	2469.98	282.03	52.60	751.97	18.19
Tucson_4	87.19	87.20	87.42	87.81	87.70	892.28	133.97	22.42	381.30	7.81
Tucson_5	78.07	78.38	78.12	77.81	78.28	862.41	67.47	20.14	149.58	7.84
Tucson_6	47.00	46.83	46.89	47.08	46.85	523.88	71.03	12.19	129.75	4.82
Tucson_7	86.99	86.94	86.91	87.55	88.52	978.17	153.66	22.30	251.82	7.77
Tucson_8	88.55	88.40	88.15	88.97	89.28	1059.39	113.88	22.18	210.38	8.94
Tucson_9	97.91	97.94	98.12	98.67	98.63	1413.80	142.35	24.78	447.61	8.74
