Strain	Chr1	Chr2	Chr3	Chr4	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10
Tucson_11	113.37	113.26	113.00	113.06	113.18	1191.53	132.69	38.04	269.58	10.62
Tucson_12	90.76	90.63	91.08	91.06	90.41	971.81	104.36	29.65	166.61	8.55
Tucson_13	48.11	47.94	48.10	48.43	48.28	564.88	52.42	15.21	104.28	4.44
Tucson_14	31.89	32.07	31.96	32.09	31.82	339.26	32.70	10.22	58.14	3.27
Tucson_15	30.68	30.56	30.65	30.95	30.82	303.22	35.85	9.83	71.17	2.62
Tucson_16	60.27	60.16	60.25	60.39	60.16	613.90	81.13	19.84	163.59	4.75
Tucson_17	50.49	50.41	50.50	50.54	50.17	535.75	57.31	16.38	114.78	4.73
Tucson_18	32.98	33.02	33.01	32.98	32.82	294.31	50.59	10.79	100.34	2.70
Tucson_19	60.72	60.77	61.01	61.19	60.73	801.60	68.46	19.70	165.89	6.18
Tucson_2	57.33	57.45	57.36	57.59	57.55	512.67	89.26	18.50	191.94	5.21
Tucson_20	46.47	46.35	46.28	46.49	46.28	489.49	47.68	14.83	95.97	3.43
Tucson_21	112.11	112.23	112.41	113.07	112.74	1342.03	163.72	36.11	371.62	11.17
Tucson_22	30.01	29.98	29.85	30.31	30.02	313.47	33.49	10.30	64.82	2.49
Tucson_23	53.62	53.41	53.51	53.52	53.66	550.18	79.91	17.49	190.37	5.05
Tucson_24	133.09	132.51	132.65	133.47	133.68	3308.73	155.62	42.67	313.39	13.47
Tucson_3	200.90	200.52	200.94	203.03	201.31	2307.94	309.39	65.19	681.98	18.19
Tucson_4	87.22	87.16	87.31	87.97	87.22	828.00	149.15	28.66	346.76	7.81
Tucson_5	78.16	78.22	78.14	77.99	77.60	788.36	70.23	25.32	136.15	7.84
Tucson_6	47.02	46.94	46.86	47.06	46.58	494.47	57.30	15.66	117.72	4.82
Tucson_7	87.14	87.15	87.12	87.57	88.14	913.71	110.26	29.07	225.84	7.77
Tucson_8	88.27	88.20	88.31	88.76	88.68	987.61	111.67	28.67	192.34	8.94
Tucson_9	97.96	97.62	98.18	98.36	98.12	1299.35	174.47	31.25	405.12	8.74
